,CAISO_Demand_MWh,CAISO_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_SO2,delta_NOx
2022-01-02 05:00:00,21496,72.429218,5,1,29,-0.9358840000000015,255.0,56696.35702076461,-14.352826229168613,-30.228315382604478
2022-01-02 06:00:00,22098,77.602086,6,1,30,5.172867999999994,602.0,128448.37594291382,-29.053632995697598,-11.584751712058164
2022-01-02 07:00:00,22860,80.975854,7,1,31,3.3737679999999983,762.0,-564270.5689124698,-16.982211971050248,-85.51000746880197
2022-01-02 08:00:00,23157,416.4367960000001,8,1,32,335.46094200000005,297.0,-1461770.1269408823,10.66826923209419,-52.107228858253166
2022-01-02 09:00:00,22688,1434.259018,9,1,33,1017.8222219999999,-469.0,-736827.5734619335,-24.129711757559534,-103.99805600275852
2022-01-02 10:00:00,21738,1838.114766,10,1,34,403.85574799999995,-950.0,-243975.9841151894,-22.483828073018003,-66.77508620325534
2022-01-02 11:00:00,20530,1850.01301,11,1,35,11.898243999999977,-1208.0,113933.86198841222,45.551499282556534,89.37561545824997
2022-01-02 12:00:00,19763,1763.626008,12,1,36,-86.38700199999994,-767.0,29881.763935790397,12.881493359206189,27.974772704180282
2022-01-02 13:00:00,19570,1774.2617839999998,13,1,37,10.63577599999985,-193.0,155464.81589819584,12.164968325437911,46.88048968747319
2022-01-02 14:00:00,19872,1732.775894,14,1,38,-41.4858899999997,302.0,362160.43834624393,11.58213302686039,104.5403758603859
2022-01-02 15:00:00,20622,1685.7834719999998,15,1,39,-46.99242200000026,750.0,838079.499177448,15.344844599405462,194.39978029450447
2022-01-02 16:00:00,21952,1233.910862,16,1,40,-451.8726099999999,1330.0,1423576.6974797756,32.86789972385276,236.64516818316986
2022-01-02 17:00:00,24474,236.58725400000003,17,1,41,-997.3236079999999,2522.0,493368.51620484795,-14.564900935348021,-206.37967152835233
2022-01-02 18:00:00,26843,40.083032,18,1,42,-196.50422200000003,2369.0,-45100.76527282689,-17.426302192549826,-48.13568777319563
2022-01-02 19:00:00,27161,48.514618,19,1,43,8.431585999999996,318.0,-289528.2417358933,-18.129768593706558,-91.23361390754224
2022-01-02 20:00:00,26890,44.550438,20,1,44,-3.964179999999999,-271.0,-235437.72882637754,14.85382142560536,-53.03509161947636
2022-01-02 21:00:00,26372,34.381398000000004,21,1,45,-10.169039999999995,-518.0,17983.781772156246,12.223899190065652,47.62089642383626
2022-01-02 22:00:00,25468,29.19382,22,1,46,-5.187578000000006,-904.0,-175023.70746033732,-53.76290890092213,-57.67728035978064
2022-01-02 23:00:00,24081,28.328430000000004,23,1,47,-0.8653899999999943,-1387.0,-280339.1810620045,-12.568482893455297,-58.15455830961946
2022-01-03 00:00:00,22744,24.503526,0,1,48,-3.8249040000000036,-1337.0,-35538.05723187514,-3.858163538678781,7.809575951082593
2022-01-03 01:00:00,21982,18.885372,1,1,49,-5.6181540000000005,-762.0,383389.4765944164,12.724238590099588,58.969744937556584
2022-01-03 02:00:00,21467,25.082254,2,1,50,6.196881999999999,-515.0,167923.55027169734,39.217016891999464,83.26156029815104
2022-01-03 03:00:00,21332,20.64355800000001,3,1,51,-4.4386959999999895,-135.0,179330.63217240106,-7.206515293763175,42.34251502924678
2022-01-03 04:00:00,21499,15.263868,4,1,52,-5.379690000000009,167.0,148037.6398322517,3.1646490857057756,183.40474620064333
2022-01-03 05:00:00,22181,13.996528,5,1,53,-1.2673400000000008,682.0,616263.3893501926,-2.183124240500547,-67.87567002842866
2022-01-03 06:00:00,23823,14.334866,6,1,54,0.33833800000000025,1642.0,545330.9293840397,4.7278259343334526,123.5475403528983
2022-01-03 07:00:00,25601,15.730058,7,1,55,1.3951919999999998,1778.0,-708393.2978831232,-32.38681474340402,-250.39938689813778
2022-01-03 08:00:00,26484,354.619652,8,1,56,338.889594,883.0,-1449145.0176459756,-32.93230413858839,-156.76719922824248
