,ERCOT_Demand_MWh,ERCOT_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_NOx,delta_SO2
2022-01-05 16:00:00,41522.615575,9351.78,16,1,112,-672.3099999999995,765.9997000000003,97558.54529414326,-811.3557315399084,-4588.0881667905705
2022-01-05 17:00:00,43542.8213,5570.47,17,1,113,-3781.3100000000004,2020.2057249999998,4363295.288727805,1619.792189096128,5623.197235119518
2022-01-05 18:00:00,43654.9961,5628.330000000001,18,1,114,57.86000000000058,112.17479999999341,1844824.6472044736,643.0235489120951,1670.9515648377383
2022-01-05 19:00:00,43268.390625,6515.66,19,1,115,887.329999999999,-386.60547499999666,-930583.8104551286,-442.59930942046776,593.0555619800944
2022-01-05 20:00:00,42376.2907,7925.549999999999,20,1,116,1409.8899999999994,-892.0999250000023,-1872504.0101583153,-561.123936056736,-1613.1916276925076
2022-01-05 21:00:00,40753.3327,9572.91,21,1,117,1647.3600000000006,-1622.9579999999987,-2892242.2768456116,-951.7741042577836,-3239.530776213007
2022-01-05 22:00:00,38929.699875,11868.17,22,1,118,2295.26,-1823.6328250000006,-4534972.46419391,-1951.0678073555955,-11822.883691493316
2022-01-05 23:00:00,37641.9398,14250.22,23,1,119,2382.0499999999993,-1287.7600749999983,-4126055.5877253897,-1424.016339773838,-2795.8567797215037
2022-01-06 00:00:00,37145.03385,14809.79,0,1,120,559.5700000000015,-496.9059500000003,-1264254.3751188256,-107.558842436134,1816.9472037698633
2022-01-06 01:00:00,37224.80045,15347.72,1,1,121,537.9299999999985,79.76660000000265,-940525.4068348594,38.46400772987363,339.6831434967935
2022-01-06 02:00:00,37680.6673,15830.14,2,1,122,482.4200000000001,455.8668499999985,-447095.0544714816,-383.91298142464984,-571.3648833596635
2022-01-06 03:00:00,38673.46615,14930.6,3,1,123,-899.539999999999,992.7988499999992,1713545.3513338268,273.9657149420509,2677.8971588677687
2022-01-06 04:00:00,41189.373375,16565.57,4,1,124,1634.9699999999993,2515.9072250000027,102661.21255006269,763.6905820681604,136.70004562447502
2022-01-06 05:00:00,44924.425125,18241.83,5,1,125,1676.260000000002,3735.0517499999987,1267919.1266285442,365.09174107942454,-1187.6775936400682
2022-01-06 06:00:00,47987.021475,19542.27,6,1,126,1300.4399999999987,3062.59635,3429491.4405832477,1148.6998127905645,3875.7607034323864
2022-01-06 07:00:00,48476.00195,20326.23,7,1,127,783.9599999999991,488.98047499999666,1829616.9209986515,421.6524379253533,2677.0757939224277
2022-01-06 08:00:00,48265.030925,20914.51,8,1,128,588.2799999999988,-210.97102499999892,-260727.80609067157,291.7196758350801,-324.7740514568104
